ind,epsilon,w_I,wA,w_v,w
1,0.808074197136806,0.00528198619430836,0.005545021180434212,0.0033256627580479457,0.004904762688209478
2,0.2511890942232561,0.0034197328694047053,0.005205191104499745,0.004673762915725365,0.007452736071081185
3,0.782446236491704,0.005258045925894668,0.0061965105078332985,0.006586448200786512,0.0036121824771160106
4,0.7202976577287994,0.0023287366507032275,0.006772419897752638,0.007309402301382439,0.0073310090137989154
5,0.09849776962303367,0.0069477802754386205,0.003761078151711257,0.007423254647575213,0.00654636026798352
6,0.6188584303538222,0.004129879935216546,0.0042500912230758,0.004353968040235027,0.0034205492227252525
7,0.6605965236467268,0.005432718349491144,0.006909250514405298,0.0039968525566597725,0.0035300313601491825
8,0.3607918537196276,0.005533154307591635,0.002843103886021358,0.0036004933984539857,0.003359107749788502
9,0.8795127250708171,0.004687716857986541,0.005128564499540354,0.0070662082454733145,0.005256351933399435
10,0.6869543616065399,0.0060395326656039385,0.00657113237214175,0.005539387932931511,0.008049865898377057
11,0.37376426626717324,0.008228211516526359,0.005826804061235865,0.004247414911425264,0.006335801221354369
12,0.36422627972931493,0.002388760138172446,0.0029076502402444093,0.005826368165201594,0.004791064405099182
13,0.5460414440903115,0.00320534672982015,0.0036861794707730364,0.007695551138926815,0.0069305209361314605
14,0.8996977738527867,0.003946424223895097,0.008327127530649377,0.007377375841252483,0.006867479682371946
15,0.20480615645448588,0.00243058751249706,0.003121430164624311,0.004022280127730586,0.0074820166531605345
16,0.09972144468606943,0.007246231764916761,0.0030093549725646886,0.006176526141507786,0.007903308433234054
17,0.5767739228481346,0.00825244869555195,0.007294306739528798,0.004688029140633569,0.006632407376094984
18,0.8411473132752662,0.003663990325171392,0.0053755521299755395,0.004909146233394439,0.0036924632046024825
19,0.6835633233766311,0.007995831360067896,0.0035066166269013305,0.00639893283063247,0.007192091224093188
20,0.9418774078104546,0.003151202456150444,0.008093541743258475,0.0020714709243791285,0.0031321819279293878
21,0.41103270761395244,0.006137897567910829,0.0032353132443010066,0.004173943973055905,0.004276488459191423
22,0.6022936964375398,0.004694746222968761,0.007013799365501002,0.0014676850777118596,0.0071696186085906865
23,0.027121880509734343,0.004579020111756831,0.004271510393946415,0.006996563785646439,0.007117978257592817
24,0.9728533078155168,0.00813847954567325,0.006800561513061352,0.006486337173915143,0.007682711081292452
25,0.7617856903572597,0.006444006082479498,0.004338071047841707,0.002770367993135389,0.0064222737734128555
26,0.7178301590563655,0.0015499553108063282,0.007779839875440082,0.004563861973781535,0.008255610009740497
27,0.15523323684698276,0.004921592580993576,0.003061208983156287,0.0034378040555356785,0.0028325046258558077
28,0.013958896355188493,0.004482580242939774,0.0030044227764063126,0.0036301260362719837,0.003095239901659746
29,0.8948474458948391,0.0017453461773398445,0.004298374092380084,0.006548989814479258,0.0037809303990960345
30,0.6389344330885091,0.007045248964146086,0.008258342959194271,0.004225138388700156,0.005234596291659562
31,0.6464830676481064,0.005639615231324575,0.0038210757568463093,0.007971938581609566,0.005750944483774665
32,0.3772408658243885,0.002698436395525708,0.007898402378245139,0.004449301635337482,0.004300288343424186
33,0.3767625487851246,0.008308215602271083,0.007439059191699623,0.00466616249915084,0.006142215461078699
34,0.9609284343677345,0.0022504561737016304,0.002973102126825845,0.004695716586755274,0.0041968137044877275
35,0.456843737873356,0.0025935104749055015,0.004003734627238575,0.0023023352528154803,0.003563302576096301
36,0.24973862038718578,0.006792177907904311,0.006793623493025912,0.003682550648386182,0.006987897624936475
37,0.9448732230532766,0.005326035400222256,0.006641614024505561,0.004823962118035926,0.0057325073366558555
38,0.21794857336611256,0.004506277288510333,0.008161187362134316,0.003283498069946026,0.005978560731467563
39,0.902408094419092,0.0035621744422693236,0.003455793166916042,0.005509200037814955,0.004597785522514809
40,0.7426817663720242,0.007214157061743392,0.0038601625481551795,0.008324352329817146,0.007561066758448883
41,0.8305198394466741,0.00416680372007982,0.007030642011806098,0.006170876259008213,0.006885392963585336
42,0.853817233990955,0.004021585224781483,0.003291786973177231,0.001834418180581588,0.0054383238186313885
43,0.31802041133538167,0.001916321293869091,0.004425694646683601,0.003952619156542269,0.004169439380859702
44,0.2208687469908696,0.00694472906783062,0.004980641250128459,0.0071228357170477884,0.004515258027585198
45,0.8091547280912342,0.0013962016821775156,0.0028910122008050246,0.008110564893412206,0.005071339041696624
46,0.26788272312939115,0.004962496096074192,0.005867650713971747,0.005656599637408312,0.003867118248674874
47,0.7694601081168135,0.005035643693559969,0.006890878070036634,0.004926532070980141,0.002995123021397954
48,0.8205426624251457,0.008047550928042707,0.006330647547731251,0.00236195414530464,0.007510328946010735
49,0.45911338470134594,0.007561112545030318,0.006162162433497465,0.006708660671292655,0.007913190663604363
50,0.34784476394126906,0.004616122843113812,0.005751123097913106,0.0074165112204856755,0.0032150215220355565
51,0.0930522489057896,0.0021694865010846672,0.005800962638894489,0.0024741216680490173,0.004013982846514613
52,0.45354509219095246,0.0047339869614055705,0.0028051696839085072,0.002603629848969404,0.0060852095427117005
53,0.43022932882838233,0.005785630961323866,0.0036931648166179717,0.0026410687051459485,0.0078653006990239
54,0.4879691350750448,0.0028324510386000474,0.005368873296619784,0.006408801392761404,0.00490321698332407
